,Name,gender_wiki,birth_date_wiki,nationality_wiki,gender_dbpedia,birth_date_dbpedia,nationality_dbpedia,gender_gkg,birth_date_gkg,nationality_gkg,VoxCeleb_ID,gender,birth_year,unit,height_raw,height
0,Arnd Peiffer,male,1987-03-18,Germany,male,1987-3-18,,male,1987-03-18,Germany,id00778,male,1987.0,http://www.wikidata.org/entity/Q174728,185.0,185.0
1,Rory MacDonald,male,1989-07-22,Canada,male,1989-07-22,http://dbpedia.org/resource/canadians,male,1989-07-22,Canada,id07553,male,1989.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
2,Lee Westwood,male,1973-04-24,The-United-Kingdom-1,male,1973-4-24,,male,1973-04-24,The-United-Kingdom-1,id05082,male,1973.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
3,Rose Byrne,female,1979-07-24,Australia,female,1979-07-24,,female,1979-07-24,Australia,id07564,female,1979.0,http://www.wikidata.org/entity/Q11573,1.68,168.0
4,Marco Streller,male,1981-06-18,Switzerland,male,1981-06-18,,male,1981-06-18,Switzerland,id05557,male,1981.0,http://www.wikidata.org/entity/Q174728,195.0,195.0
5,Jürgen Melzer,male,1981-05-22,Austria,male,1981-05-22,,male,1981-05-22,Austria,id04510,male,1981.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
6,Alexandre Bilodeau,male,1987-09-08,Canada,male,1987-09-08,,male,1987-09-08,Canada,id00292,male,1987.0,http://www.wikidata.org/entity/Q174728,173.0,173.0
7,Miguel Ángel Silvestre,male,1982-04-06,Spain,male,1982-04-06,,male,1982-04-06,Spain,id06095,male,1982.0,http://www.wikidata.org/entity/Q11573,1.8,180.0
8,Kyle Lowry,male,1986-03-25,The-United-States-of-America,male,1986-03-25,american,male,1986-03-25,The-United-States-of-America,id04945,male,1986.0,http://www.wikidata.org/entity/Q174728,170.0,170.0
9,DeMar DeRozan,male,1989-08-07,The-United-States-of-America,male,1989-08-07,american,male,1989-08-07,The-United-States-of-America,id02078,male,1989.0,http://www.wikidata.org/entity/Q174728,201.0,201.0
10,Ayelet Zurer,female,1969-06-28,Israel,female,1969-06-28,,female,1969-06-28,Israel,id00842,female,1969.0,http://www.wikidata.org/entity/Q174728,169.0,169.0
11,Svetislav Pešić,male,1949-08-28,Serbia,male,1949-08-28,http://dbpedia.org/resource/german_national_basketball_team,male,1949-08-28,Serbia,id08339,male,1949.0,http://www.wikidata.org/entity/Q174728,196.0,196.0
12,Rulon Gardner,male,1971-08-16,The-United-States-of-America,male,1971-08-16,,male,1971-08-16,The-United-States-of-America,id07614,male,1971.0,http://www.wikidata.org/entity/Q174728,187.0,187.0
13,Álex Rodríguez,male,1990-08-05,Panama,male,1990-05-08,,male,1975-07-27,Dominican-Republic,id09218,male,,http://www.wikidata.org/entity/Q218593,75.0,190.5
14,Kevin Costner,male,1955-01-18,The-United-States-of-America,male,1955-01-18,,male,1955-01-18,The-United-States-of-America,id04738,male,1955.0,http://www.wikidata.org/entity/Q174728,185.0,185.0
15,Stan Van Gundy,male,1959-08-26,The-United-States-of-America,male,1959-08-26,,male,1959-08-26,The-United-States-of-America,id08191,male,1959.0,http://www.wikidata.org/entity/Q11573,1.73,173.0
16,Dan Smith,male,1986-07-14,The-United-Kingdom-1,male,1951-1-1,,male,1986-07-14,The-United-Kingdom-1,id01899,male,,http://www.wikidata.org/entity/Q174728,185.0,185.0
17,Jesse Palmer,male,1978-10-05,Canada,male,1978-10-05,,male,1978-10-05,Canada,id04034,male,1978.0,http://www.wikidata.org/entity/Q218593,74.0,187.96
18,Shakti Mohan,female,1985-10-12,India,female,1985-10-12,http://dbpedia.org/resource/india,female,1985-10-12,India,id07953,female,1985.0,http://www.wikidata.org/entity/Q11573,1.63,163.0
19,Roddy Piper,male,1954-04-17,Canada,male,1954-04-17,,male,1954-04-17,Canada,id07478,male,1954.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
20,Russell Westbrook,male,1988-11-12,The-United-States-of-America,male,1988-11-12,american,male,1988-11-12,The-United-States-of-America,id07628,male,1988.0,http://www.wikidata.org/entity/Q174728,194.0,194.0
21,Aries Merritt,male,1985-07-24,The-United-States-of-America,male,1985-07-24,american,male,1985-07-24,The-United-States-of-America,id00760,male,1985.0,http://www.wikidata.org/entity/Q174728,185.0,185.0
22,Mbark Boussoufa,male,1984-08-15,Morocco,male,1984-08-15,,male,1984-08-15,Morocco,id05904,male,1984.0,http://www.wikidata.org/entity/Q174728,167.0,167.0
23,Yasmin Warsame,female,1976-05-05,Canada,female,1976-05-05,http://dbpedia.org/resource/somalia,female,1976-05-05,Canada,id09076,female,1976.0,http://www.wikidata.org/entity/Q174728,178.0,178.0
24,Dwayne Johnson,male,1972-05-02,The-United-States-of-America,male,1972-05-02,,male,1972-05-02,The-United-States-of-America,id02317,male,1972.0,http://www.wikidata.org/entity/Q174728,196.0,196.0
25,Kristin Kreuk,female,1982-12-30,Canada,female,1982-12-30,,female,1982-12-30,Canada,id04905,female,1982.0,http://www.wikidata.org/entity/Q174728,160.0,160.0
26,Guus Hiddink,male,1946-11-08,Kingdom-of-the-Netherlands,male,1946-11-08,,male,1946-11-08,Kingdom-of-the-Netherlands,id03258,male,1946.0,http://www.wikidata.org/entity/Q174728,178.0,178.0
27,Michael Owen,male,1979-12-14,The-United-Kingdom-1,male,1979-12-14,,male,1979-12-14,The-United-Kingdom-1,id06013,male,1979.0,http://www.wikidata.org/entity/Q174728,172.0,172.0
28,Baichung Bhutia,male,1976-12-15,India,male,1976-12-15,,male,1976-12-15,India,id00875,male,1976.0,http://www.wikidata.org/entity/Q174728,173.0,173.0
29,Marit Bjørgen,female,1980-03-21,Norway,female,1980-03-21,,female,1980-03-21,Norway,id05668,female,1980.0,http://www.wikidata.org/entity/Q174728,168.0,168.0
30,Tiffani Thiessen,female,1974-01-23,The-United-States-of-America,female,1974-01-23,,female,1974-01-23,The-United-States-of-America,id08549,female,1974.0,http://www.wikidata.org/entity/Q218593,65.0,165.1
31,James DeGale,male,1986-02-03,The-United-Kingdom-1,male,1986-02-03,,male,1986-02-03,The-United-Kingdom-1,id03754,male,1986.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
32,Manuel Pellegrini,male,1953-09-16,Chile,male,1953-09-16,,male,1953-09-16,Chile,id05492,male,1953.0,http://www.wikidata.org/entity/Q174728,185.0,185.0
33,Owen Wilson,male,1968-11-18,The-United-States-of-America,male,1968-11-18,,male,1968-11-18,The-United-States-of-America,id06717,male,1968.0,http://www.wikidata.org/entity/Q11573,1.8,180.0
34,Eric Garcetti,male,1971-02-04,The-United-States-of-America,male,1971-02-04,,male,1971-02-04,The-United-States-of-America,id02578,male,1971.0,http://www.wikidata.org/entity/Q11573,1.79,179.0
35,Katie Price,female,1978-05-22,The-United-Kingdom-1,female,1978-05-22,british,female,1978-05-22,The-United-Kingdom-1,id04657,female,1978.0,http://www.wikidata.org/entity/Q174728,165.0,165.0
36,Levan Kobiashvili,male,1977-07-10,Georgia-country,male,1977-07-10,,male,1977-07-10,Georgia-country,id05145,male,1977.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
37,Robert De Niro,male,1943-08-17,The-United-States-of-America,male,1922-5-3,http://dbpedia.org/resource/united_states,male,1943-08-17,The-United-States-of-America,id07413,male,,http://www.wikidata.org/entity/Q174728,177.0,177.0
38,Jérémy Toulalan,male,1983-09-10,France,male,1983-09-10,,male,1983-09-10,France,id04503,male,1983.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
39,Melissa Benoist,female,1988-10-04,The-United-States-of-America,female,1988-10-04,,female,1988-10-04,The-United-States-of-America,id05945,female,1988.0,http://www.wikidata.org/entity/Q11573,1.73,173.0
40,D. J. Augustin,male,1987-11-10,The-United-States-of-America,male,1987-11-10,american,male,1987-11-10,The-United-States-of-America,id01856,male,1987.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
41,Theo Walcott,male,1989-03-16,The-United-Kingdom-1,male,1989-03-16,,male,1989-03-16,The-United-Kingdom-1,id08501,male,1989.0,http://www.wikidata.org/entity/Q174728,176.0,176.0
42,Michael B. Jordan,male,1987-02-23,The-United-States-of-America,male,1987-02-09,,male,1987-02-23,The-United-States-of-America,id05983,male,1987.0,http://www.wikidata.org/entity/Q11573,1.83,183.0
43,Fabio Quagliarella,male,1983-01-31,Italy,male,1983-01-31,,male,1983-01-31,Italy,id02706,male,1983.0,http://www.wikidata.org/entity/Q174728,180.0,180.0
44,Rupert Grint,male,1988-08-24,The-United-Kingdom-1,male,1988-08-24,,male,1988-08-24,The-United-Kingdom-1,id07617,male,1988.0,http://www.wikidata.org/entity/Q174728,173.0,173.0
45,Jeffrey Bruma,male,1991-11-13,Kingdom-of-the-Netherlands,male,1991-11-13,,male,1991-11-13,Kingdom-of-the-Netherlands,id03958,male,1991.0,http://www.wikidata.org/entity/Q174728,189.0,189.0
46,Bradley Wiggins,male,1980-04-28,The-United-Kingdom-1,male,1980-04-28,,male,1980-04-28,The-United-Kingdom-1,id01162,male,1980.0,http://www.wikidata.org/entity/Q174728,190.0,190.0
47,Xabi Alonso,male,1981-11-25,Spain,male,1981-11-25,,male,1981-11-25,Spain,id09046,male,1981.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
48,Fredi Bobic,male,1971-10-30,Germany,male,1971-10-30,,male,1971-10-30,Germany,id02901,male,1971.0,http://www.wikidata.org/entity/Q174728,188.0,188.0
49,Marcel Koller,male,1960-11-11,Switzerland,male,1960-11-11,,male,1960-11-11,Switzerland,id05519,male,1960.0,http://www.wikidata.org/entity/Q174728,173.0,173.0
50,Christophe Jallet,male,1983-10-31,France,male,1983-10-31,,male,1983-10-31,France,id01669,male,1983.0,http://www.wikidata.org/entity/Q174728,178.0,178.0
51,Ernesto Valverde,male,1964-02-09,Spain,male,1964-02-09,,male,1964-02-09,Spain,id02613,male,1964.0,http://www.wikidata.org/entity/Q11573,1.73,173.0
52,Jaime Alguersuari,male,1990-03-23,Spain,male,1990-03-23,spanish,male,1990-03-23,Spain,id03721,male,1990.0,http://www.wikidata.org/entity/Q11573,1.8,180.0
53,Oriol Romeu,male,1991-09-24,Spain,male,1991-09-24,,male,1991-09-24,Spain,id06695,male,1991.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
54,Mladen Petrić,male,1981-01-01,Croatia,male,1981-01-01,,male,1981-01-01,Croatia,id06206,male,1981.0,http://www.wikidata.org/entity/Q174728,185.0,185.0
55,Jennifer Tilly,female,1958-09-16,The-United-States-of-America,female,1958-09-16,,female,1958-09-16,The-United-States-of-America,id03983,female,1958.0,http://www.wikidata.org/entity/Q11573,1.69,169.0
56,Martina Voss-Tecklenburg,female,1967-12-22,Germany,female,1967-12-22,,female,1967-12-22,Germany,id05747,female,1967.0,http://www.wikidata.org/entity/Q174728,167.0,167.0
57,Carrie Prejean,female,1987-05-13,The-United-States-of-America,female,1987-05-13,,female,1987-05-13,The-United-States-of-America,id01434,female,1987.0,http://www.wikidata.org/entity/Q174728,180.0,180.0
58,Joko Anwar,male,1976-01-03,Indonesia,male,1976-01-03,,male,1976-01-03,Indonesia,id04246,male,1976.0,http://www.wikidata.org/entity/Q11573,1.81,181.0
59,Cobi Jones,male,1970-06-16,The-United-States-of-America,male,1970-06-16,,male,1970-06-16,The-United-States-of-America,id01763,male,1970.0,http://www.wikidata.org/entity/Q174728,170.0,170.0
60,Paola Barale,female,1967-04-28,Italy,female,1967-04-28,,female,1967-04-28,Italy,id06754,female,1967.0,http://www.wikidata.org/entity/Q174728,172.0,172.0
61,Jakub Voráček,male,1989-08-15,The-Czech-Republic-1,male,1989-08-15,,male,1989-08-15,The-Czech-Republic-1,id03741,male,1989.0,http://www.wikidata.org/entity/Q174728,189.0,189.0
62,Sean Payton,male,1963-12-29,The-United-States-of-America,male,1963-12-29,,male,1963-12-29,The-United-States-of-America,id07852,male,1963.0,http://www.wikidata.org/entity/Q218593,71.0,180.34
63,Charlotte Church,female,1986-02-21,The-United-Kingdom-1,female,1986-02-21,,female,1986-02-21,The-United-Kingdom-1,id01549,female,1986.0,http://www.wikidata.org/entity/Q174728,164.0,164.0
64,Murat Yakin,male,1974-09-15,Turkey-country,male,1974-09-15,,male,1974-09-15,Turkey-country,id06274,male,1974.0,http://www.wikidata.org/entity/Q174728,184.0,184.0
65,Richard Bohringer,male,1942-01-16,France,male,1941-01-16,,male,1942-01-16,France,id07333,male,,http://www.wikidata.org/entity/Q11573,1.77,177.0
66,Hamit Altıntop,male,1982-12-08,Turkey-country,male,1982-12-08,,male,1982-12-08,Turkey-country,id03306,male,1982.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
67,Shaun White,male,1986-09-03,The-United-States-of-America,male,1986-09-03,,male,1986-09-03,The-United-States-of-America,id07993,male,1986.0,http://www.wikidata.org/entity/Q174728,173.0,173.0
